Date;Match ID;League;country;Time;Status;Diff_Prob;OddAsianOverGoals_FT;AsianOverGoals_FT;OddAsianUnderGoals_FT;AsianUnderGoals_FT;corners_home;corners_away;corners_FT;corners_home_HT;corners_away_HT;Corners_HT;attack_FT;dangerous_attack_FT;possession_FT;Home;Home Pos;Home Red Cards;Home Yellow Cards;Odd_H_FT;Goals_H_HT;Goals_H_FT;Score;Odd_D_FT;Away;Away Pos;Away Red Cards;Away Yellow Cards;Odd_A_FT;Goals_A_HT;Goals_A_FT;Handicap;Corners (FT);Corners (HT);Total Goals Line (FT);Total Goals Line (HT);Dangerous Attacks (FT);Dangerous Attacks (HT);half_dangerous_attack_away;half_dangerous_attack_home;half_possession_away;half_possession_home;half_shoot_off_target_away;half_shoot_off_target_home;half_shoot_on_target_away;half_shoot_on_target_home;odds_lose_odds;odds_win_odds;odds_draw_odds;handicap_goal_over_line;handicap_goal_over_odds;handicap_goal_under_odds;handicap_goal_under_line;attack_away;attack_home;dangerous_attack_away;dangerous_attack_home;possession_away;possession_home;shoot_off_target_away;shoot_off_target_home;shoot_on_target_away;shoot_on_target_home;GoalMinutes;goal_minutes_real;goal_periods;is_extra_time;goal_scorers;goal_diff_before_list;goal_diff_after_list;period_result_before_list;period_result_after_list;pct_time_drawing;pct_time_home_winning;pct_time_away_winning;pct_time_drawing_HT;pct_time_home_winning_HT;pct_time_away_winning_HT;btts_liga;avg_goals_liga;Mg_Liga;conv_liga;home_bias_liga;cs_fav_liga;cv_Mg_Liga;liga_risco;liga_stability;liga_over_bias;liga_lambda_cap;liga_squeeze_power;liga_discrepancy_limit;liga_underdog_penalty;liga_calibration_factor;category;api_H_id;api_H_team;api_A_id;api_A_team
2026-04-29;193118165;Japan J2/J3 Centennial League;Japan;02:00;Schedule;0.36909304038107676;1.9;2.5;1.9;2.5;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;Renofa Yamaguchi;;0.0;0.0;1.667;0;0.0;0 - 0;3.7;FC Ryukyu;;0.0;0.0;4.333;0;0.0;-0.75;0 - 0;0-0;2.5;1.0;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0;0.45491803278688525;2.4549180327868854;1.3237704918032787;0.13137519965898334;0.5332451499118166;0.3548387096774194;0.9187272006767145;0.5438052131944693;0.5211788312832125;-0.04508196721311464;3.0686475409836067;1.5275459098497495;4.0;0.6451612903225806;0.9642621941821761;;38146.0;Renofa Yamaguchi;44528.0;FC Ryukyu
2026-04-29;193118144;Japan J2/J3 Centennial League;Japan;02:00;Schedule;0.16849816849816845;2.025;2.0, 2.5;1.775;2.0, 2.5;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;Kagoshima United;;0.0;0.0;2.1;0;0.0;0 - 0;3.1;Sagan Tosu;;0.0;0.0;3.25;0;0.0;-0.25;0 - 0;0-0;2.25;0.75;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0;0.4703389830508475;2.538135593220339;1.36864406779661;0.13137519965898334;0.5332451499118166;0.3333333333333333;0.8851966328804222;0.4435815839525512;0.5304486452811471;0.038135593220339103;3.172669491525424;1.4774624373956593;4.0;0.6666666666666667;0.9809168204672553;;162632.0;Kagoshima United;21904.0;Sagan Tosu
2026-04-29;193118168;Japan J2/J3 Centennial League;Japan;02:00;Schedule;0.09961685823754785;1.925;2.5;1.875;2.5;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;Sagamihara;;0.0;0.0;2.25;0;0.0;0 - 0;3.2;Tochigi City;;0.0;0.0;2.9;0;0.0;-0.25;0 - 0;0-0;2.5;1.0;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0;0.4530612244897959;2.4448979591836735;1.3183673469387756;0.13137519965898334;0.5332451499118166;0.3548387096774194;0.9228325156907189;0.5555326545559022;0.520066096157512;-0.055102040816326525;3.056122448979592;1.5338063439065106;4.0;0.6451612903225806;0.9622568412213196;;190658.0;SC Sagamihara;245541.0;Tochigi City FC
2026-04-29;193118170;Japan J2/J3 Centennial League;Japan;02:00;Schedule;0.5017626321974148;1.85;2.0, 2.5;1.95;2.0, 2.5;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;Tegevajaro Miyazaki;;0.0;0.0;1.48;0;0.0;0 - 0;4.0;Giravanz Kitakyushu;;0.0;0.0;5.75;0;0.0;-1.0;0 - 0;0-0;2.25;1.0;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0;0.45121951219512196;2.434959349593496;1.3130081300813008;0.13137519965898334;0.5332451499118166;0.3548387096774194;0.9269195747897384;0.5669780659237633;0.5189630190502985;-0.06504065040650397;3.04369918699187;1.540066777963272;4.0;0.6451612903225806;0.9602677919430719;;441260.0;Tegevajaro Miyazaki;40029.0;Giravanz Kitakyushu
2026-04-29;193118172;Japan J2/J3 Centennial League;Japan;02:00;Schedule;-0.2142857142857143;2.025;2.5;1.775;2.5;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;Tochigi SC;;0.0;0.0;3.5;0;0.0;0 - 0;3.2;Shonan Bellmare;;0.0;0.0;2.0;0;0.0;+0.25;0 - 0;0-0;2.5;1.0;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0;0.4493927125506073;2.425101214574899;1.3076923076923077;0.13137519965898334;0.5332451499118166;0.375;0.9309886193002602;0.5781383104183059;0.5178694426290166;-0.07489878542510109;3.0313765182186234;1.5463272120200333;4.0;0.625;0.9582948483269959;;26009.0;Tochigi SC;;
2026-04-29;193118178;Japan J2/J3 Centennial League;Japan;02:00;Schedule;0.284130284130284;1.8;2.0, 2.5;2.0;2.0, 2.5;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;Kataller Toyama;;0.0;0.0;1.85;0;0.0;0 - 0;3.3;Albirex Niigata;;0.0;0.0;3.9;0;0.0;-0.5;0 - 0;0-0;2.25;1.0;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0;0.4475806451612903;2.4153225806451615;1.3024193548387097;0.13137519965898334;0.5332451499118166;0.375;0.9350398852830124;0.5878765249216;0.5167852133723556;-0.08467741935483852;3.019153225806452;1.5525876460767944;4.0;0.625;0.9563378155465337;;34035.0;Kataller Toyama;5128.0;Albirex Niigata
2026-04-29;193118194;Japan J2/J3 Centennial League;Japan;02:00;Schedule;0.31165311653116534;1.75;2.0;2.05;2.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;Yokohama FC;;0.0;0.0;1.8;0;0.0;0 - 0;3.3;Vanraure Hachinohe;;0.0;0.0;4.1;0;0.0;-0.5;0 - 0;0-0;2.0;0.75;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0;0.4457831325301205;2.4056224899598395;1.2971887550200802;0.13137519965898334;0.5332451499118166;0.375;0.9390736036923314;0.597827606144347;0.5157101814473815;-0.09437751004016048;3.0070281124497993;1.5588480801335556;4.0;0.625;0.9543965019048701;;7061.0;Yokohama FC;118478.0;Vanraure Hachinohe FC
2026-04-29;193118163;Japan J2/J3 Centennial League;Japan;02:00;Schedule;0.1111111111111111;1.825;2.0;1.975;2.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;Reilac Shiga;;0.0;0.0;2.25;0;0.0;0 - 0;3.1;Gainare Tottori;;0.0;0.0;3.0;0;0.0;-0.25;0 - 0;0-0;2.0;0.75;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0;0.4567901234567901;2.4650205761316872;1.3292181069958848;0.13137519965898334;0.5332451499118166;0.3548387096774194;0.9146033829896614;0.5321211109763042;0.5223013856992647;-0.034979423868312765;3.081275720164609;1.5212854757929883;4.0;0.6451612903225806;0.9662840521056731;;439336.0;Reilac Shiga FC;;
2026-04-29;193118140;Japan J2/J3 Centennial League;Japan;02:00;Schedule;0.193687230989957;1.775;2.0, 2.5;2.025;2.0, 2.5;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;Hokkaido Consadole Sapporo;;0.0;0.0;2.05;0;0.0;0 - 0;3.2;Fujieda MYFC;;0.0;0.0;3.4;0;0.0;-0.25;0 - 0;0-0;2.25;1.0;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0;0.4723404255319149;2.548936170212766;1.374468085106383;0.13137519965898334;0.5332451499118166;0.3333333333333333;0.8809151983138526;0.4316036985813208;0.5316560793896772;0.04893617021276597;3.1861702127659575;1.4712020033388982;4.0;0.6666666666666667;0.9830783783468082;;3142.0;Hokkaido Consadole Sapporo;118500.0;Fujieda MYFC
2026-04-29;193118153;Japan J2/J3 Centennial League;Japan;02:00;Schedule;-0.03779289493575205;1.775;2.0, 2.5;2.025;2.0, 2.5;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;Nara Club;;0.0;0.0;2.7;0;0.0;0 - 0;3.2;Kochi United;;0.0;0.0;2.45;0;0.0;0.0;0 - 0;0-0;2.25;1.0;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0;0.46443514644351463;2.506276150627615;1.3514644351464435;0.13137519965898334;0.5332451499118166;0.3548387096774194;0.897917950377354;0.4811117158405993;0.526893167221046;0.006276150627614996;3.1328451882845187;1.4962437395659434;4.0;0.6451612903225806;0.9745406769313357;;38148.0;Nara Club;281405.0;Kochi United SC
