Date;Match ID;League;country;Time;Status;Diff_Prob;OddAsianOverGoals_FT;AsianOverGoals_FT;OddAsianUnderGoals_FT;AsianUnderGoals_FT;corners_home;corners_away;corners_FT;corners_home_HT;corners_away_HT;Corners_HT;attack_FT;dangerous_attack_FT;possession_FT;Home;Home Pos;Home Red Cards;Home Yellow Cards;Odd_H_FT;Goals_H_HT;Goals_H_FT;Score;Odd_D_FT;Away;Away Pos;Away Red Cards;Away Yellow Cards;Odd_A_FT;Goals_A_HT;Goals_A_FT;Handicap;Corners (FT);Corners (HT);Total Goals Line (FT);Total Goals Line (HT);Dangerous Attacks (FT);Dangerous Attacks (HT);half_dangerous_attack_away;half_dangerous_attack_home;half_possession_away;half_possession_home;half_shoot_off_target_away;half_shoot_off_target_home;half_shoot_on_target_away;half_shoot_on_target_home;odds_lose_odds;odds_win_odds;odds_draw_odds;handicap_goal_over_line;handicap_goal_over_odds;handicap_goal_under_odds;handicap_goal_under_line;attack_away;attack_home;dangerous_attack_away;dangerous_attack_home;possession_away;possession_home;shoot_off_target_away;shoot_off_target_home;shoot_on_target_away;shoot_on_target_home;GoalMinutes;goal_minutes_real;goal_periods;is_extra_time;goal_scorers;goal_diff_before_list;goal_diff_after_list;period_result_before_list;period_result_after_list;pct_time_drawing;pct_time_home_winning;pct_time_away_winning;pct_time_drawing_HT;pct_time_home_winning_HT;pct_time_away_winning_HT;api_H_id;api_A_id;api_H_name;api_A_name;odd_yes_abertura;odd_yes_fechamento;category
2026-05-07;194169293;OFC Pro League;International (Oceania);00:00;Full;0.14253563390847712;1.825;2.5;1.975;2.5;3.0;6.0;;2.0;2.0;4.0;146.0;102.0;100.0;Solomon Kings FC;;0.0;0.0;2.15;0;2.0;2 - 1;3.0;Tahiti United;;0.0;2.0;3.1;0;1.0;-0.25;3 - 6;2-2;2.5;1.0;39 - 63;25 - 27;27.0;25.0;44.0;56.0;3.0;4.0;2.0;3.0;;;;;;;;60.0;86.0;63.0;39.0;45.0;55.0;4.0;5.0;6.0;7.0;;[46 83 84];[2 2 2];[False False False];['Solomon Kings FC' 'Solomon Kings FC' 'Tahiti United'];[0 1 2];[1 2 1];['D' 'H' 'H'];['H' 'H' 'H'];0.51;0.49;0.0;1.0;0.0;0.0;;;;;;;
2026-05-07;194126312;OFC Pro League;International (Oceania);04:00;Full;0.39421301638587586;1.9;3.0;1.9;3.0;6.0;5.0;;4.0;4.0;8.0;134.0;111.0;100.0;Vanuatu United;;0.0;0.0;1.6;1;3.0;3 - 1;3.8;PNG Hekari FC;;0.0;2.0;4.333;1;1.0;-1.0;6 - 5;4-4;3.0;1.25;60 - 51;33 - 19;19.0;33.0;34.0;66.0;1.0;3.0;3.0;2.0;;;;;;;;60.0;74.0;51.0;60.0;43.0;57.0;4.0;7.0;3.0;5.0;;[29 37 75 87];[1 1 2 2];[False False False False];['Vanuatu United' 'PNG Hekari FC' 'Vanuatu United' 'Vanuatu United'];[0 1 0 1];[1 0 1 2];['D' 'H' 'D' 'H'];['H' 'D' 'H' 'H'];0.74;0.26;0.0;0.82;0.18;0.0;;;;;;;
2026-05-07;194125013;Australia Cup Qualifying;Australia;05:30;Full;0.009661835748792202;2.0;3.5;1.8;3.5;11.0;6.0;;3.0;3.0;6.0;102.0;99.0;;Canberra Juventus;;0.0;1.0;2.25;0;0.0;0 - 2;4.2;Queanbeyan City;;0.0;3.0;2.3;1;2.0;0.0;11 - 6;3-3;3.5;1.5;48 - 51;20 - 34;34.0;20.0;;;2.0;2.0;6.0;2.0;;;;;;;;59.0;43.0;51.0;48.0;;;3.0;4.0;9.0;3.0;;[15 76];[1 2];[False False];['Queanbeyan City' 'Queanbeyan City'];[ 0 -1];[-1 -2];['D' 'A'];['A' 'A'];0.17;0.0;0.83;0.33;0.0;0.67;;;;;;;
2026-05-07;194104360;Czechia Youth League;Czech Republic;06:00;Full;0.1068524970963996;1.95;3.0, 3.5;1.85;3.0, 3.5;9.0;10.0;;1.0;4.0;5.0;199.0;158.0;100.0;Sigma Olomouc U19;;0.0;2.0;2.05;1;1.0;1 - 0;4.333;Pardubice U19;;0.0;1.0;2.625;0;0.0;0.0;9 - 10;1-4;3.25;1.25;60 - 98;26 - 51;51.0;26.0;65.0;35.0;4.0;1.0;0.0;1.0;;;;;;;;122.0;77.0;98.0;60.0;59.0;41.0;8.0;7.0;2.0;3.0;;[12];[1];[False];['Sigma Olomouc U19'];[0];[1];['D'];['H'];0.13;0.87;0.0;0.27;0.73;0.0;2207.0;2230.0;sk sigma olomouc;fk pardubice;;;Youth
2026-05-07;194110302;Mongolia Premier League;Mongolia;07:00;Schedule;-0.6036919331935898;1.9;4.0;1.9;4.0;2.0;3.0;;1.0;1.0;2.0;235.0;126.0;100.0;Hunters FC;;0.0;2.0;5.75;0;0.0;0 - 2;6.25;Khangarid Klub;;0.0;3.0;1.286;0;2.0;+1.75 (+0.25);2 - 3;1-1;4.0 ( 2.5);1.5;46 - 67;24 - 28;28.0;24.0;60.0;40.0;2.0;2.0;3.0;1.0;;;;;;;;128.0;107.0;72.0;54.0;55.0;45.0;6.0;3.0;6.0;1.0;;[65 86];[2 2];[False False];['Khangarid Klub' 'Khangarid Klub'];[ 0 -1];[-1 -2];['D' 'A'];['A' 'A'];0.72;0.0;0.28;1.0;0.0;0.0;;;;;;;
2026-05-07;194232034;Türkiye U19 League;Turkey;07:00;Schedule;0.05982905982905984;1.9;2.5, 3.0;1.9;2.5, 3.0;1.0;7.0;;0.0;6.0;6.0;101.0;69.0;;Adana 01 U19;;0.0;1.0;2.25;0;0.0;0 - 0;3.5;Istanbulspor U19;;0.0;1.0;2.6;0;0.0;0.0 ( 0.0);1 - 7;0-6;2.75 (0.75);nan;16 - 45;9 - 29;29.0;9.0;;;4.0;1.0;0.0;1.0;;;;;;;;45.0;56.0;50.0;19.0;;;4.0;1.0;0.0;2.0;;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0;;3066.0;;istanbulspor as;;;Youth
2026-05-07;194104351;Cambodia Premier League;Cambodia;08:00;Schedule;0.2857142857142857;2.0;3.0;1.8;3.0;2.0;3.0;;2.0;2.0;4.0;106.0;62.0;100.0;Svay Rieng FC;;0.0;0.0;1.75;2;2.0;2 - 2;3.8;Boeung Ket FC;;0.0;2.0;3.5;3;2.0;-0.5 ( -0.5);2 - 3;2-2;3.0 (5.75);1.25;30 - 29;nan;32.0;30.0;38.0;62.0;10.0;10.0;5.0;4.0;;;;;;;;48.0;58.0;32.0;30.0;38.0;62.0;10.0;10.0;5.0;4.0;;[24 28 39 43 50];[1 1 1 1 1];[False False False False  True];"['Boeung Ket FC' 'Svay Rieng FC' 'Boeung Ket FC' 'Svay Rieng FC'
 'Boeung Ket FC']";[ 0 -1  0 -1  0];[-1  0 -1  0 -1];['D' 'A' 'D' 'A' 'D'];['A' 'D' 'A' 'D' 'A'];0.47;0.0;0.53;0.84;0.0;0.16;;;;;;;
2026-05-07;194100320;Georgia Liga 3;Georgia;09:00;Schedule;-0.11904761904761901;1.85;2.5, 3.0;1.95;2.5, 3.0;0.0;0.0;;0.0;0.0;0.0;2.0;0.0;;Lokomotiv Tbilisi;;0.0;0.0;2.8;0;0.0;0 - 0;3.6;Betlemi;;0.0;0.0;2.1;0;0.0;+0.25;0 - 0;0-0;2.75;1.25;-;nan;;;;;;;;;;;;;;;;0.0;2.0;0.0;0.0;;;0.0;0.0;0.0;0.0;;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0;;;;;;;
2026-05-07;194100307;Georgia Liga 3;Georgia;09:00;Schedule;0.1172901921132457;1.8;2.5;2.0;2.5;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;FC Gonio;;0.0;0.0;2.15;0;0.0;0 - 0;3.4;FC Didube 2014;;0.0;0.0;2.875;0;0.0;-0.25;0 - 0;0-0;2.5;1.0;-;nan;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0;;;;;;;
2026-05-07;194100309;Georgia Liga 3;Georgia;09:00;Schedule;0.5403726708074534;1.85;3.0;1.95;3.0;0.0;0.0;;0.0;0.0;0.0;2.0;0.0;;Guria Lanchkhuti;;0.0;0.0;1.4;0;0.0;0 - 0;4.333;Kolkheti Khobi;;0.0;0.0;5.75;0;0.0;-1.25;0 - 0;0-0;3.0;1.25;-;nan;;;;;;;;;;;;;;;;2.0;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0;;;;;;;
