Date;Match ID;League;country;Time;Status;Diff_Prob;OddAsianOverGoals_FT;AsianOverGoals_FT;OddAsianUnderGoals_FT;AsianUnderGoals_FT;corners_home;corners_away;corners_FT;corners_home_HT;corners_away_HT;Corners_HT;attack_FT;dangerous_attack_FT;possession_FT;Home;Home Pos;Home Red Cards;Home Yellow Cards;Odd_H_FT;Goals_H_HT;Goals_H_FT;Score;Odd_D_FT;Away;Away Pos;Away Red Cards;Away Yellow Cards;Odd_A_FT;Goals_A_HT;Goals_A_FT;Handicap;Corners (FT);Corners (HT);Total Goals Line (FT);Total Goals Line (HT);Dangerous Attacks (FT);Dangerous Attacks (HT);half_dangerous_attack_away;half_dangerous_attack_home;half_possession_away;half_possession_home;half_shoot_off_target_away;half_shoot_off_target_home;half_shoot_on_target_away;half_shoot_on_target_home;odds_lose_odds;odds_win_odds;odds_draw_odds;handicap_goal_over_line;handicap_goal_over_odds;handicap_goal_under_odds;handicap_goal_under_line;attack_away;attack_home;dangerous_attack_away;dangerous_attack_home;possession_away;possession_home;shoot_off_target_away;shoot_off_target_home;shoot_on_target_away;shoot_on_target_home;GoalMinutes;goal_minutes_real;goal_periods;is_extra_time;goal_scorers;goal_diff_before_list;goal_diff_after_list;period_result_before_list;period_result_after_list;pct_time_drawing;pct_time_home_winning;pct_time_away_winning;pct_time_drawing_HT;pct_time_home_winning_HT;pct_time_away_winning_HT
2026-04-27;193554036;USA MLS Next Pro League;USA;00:00;Full;0.1399787910922588;1.825;3.0, 3.5;1.975;3.0, 3.5;4.0;6.0;;3.0;4.0;7.0;198.0;151.0;100.0;Tacoma Defiance;;0.0;2.0;2.05;3;4.0;4 - 1;3.6;Los Angeles FC II;;0.0;1.0;2.875;1;1.0;-0.25;4 - 6;3-4;3.25;1.25;45 - 106;26 - 43;43.0;26.0;63.0;37.0;6.0;2.0;4.0;5.0;;;;;;;;124.0;74.0;106.0;45.0;67.0;33.0;15.0;3.0;5.0;7.0;7' - 1st Goal - Los Angeles FC II | 14' - 2nd Goal - Tacoma Defiance | 17' - 3rd Goal - Tacoma Defiance | 22' - 4th Goal - Tacoma Defiance | 75' - 5th Goal - Tacoma Defiance;[ 7 14 17 22 75];[1 1 1 1 2];[False False False False False];"['Los Angeles FC II' 'Tacoma Defiance' 'Tacoma Defiance' 'Tacoma Defiance'
 'Tacoma Defiance']";[ 0 -1  0  1  2];[-1  0  1  2  3];['D' 'A' 'D' 'H' 'H'];['A' 'D' 'H' 'H' 'H'];0.11;0.81;0.08;0.22;0.62;0.16
2026-04-27;193562950;New Zealand Southern League;New Zealand;00:00;Full;-0.45345345345345345;2.0;3.5, 4.0;1.8;3.5, 4.0;6.0;12.0;;2.0;5.0;7.0;191.0;112.0;100.0;Selwyn United;;0.0;1.0;4.5;1;3.0;3 - 5;4.75;Nomads United;;0.0;3.0;1.48;1;5.0;+1.25;6 - 12;2-5;3.75;1.5;39 - 73;16 - 36;36.0;16.0;60.0;40.0;4.0;3.0;6.0;1.0;;;;;;;;109.0;82.0;73.0;39.0;58.0;42.0;7.0;5.0;15.0;4.0;14' - 1st Goal - Selwyn United | 22' - 2nd Goal - Nomads United | 58' - 4th Goal - Nomads United | 70' - 5th Goal - Nomads United | 71' - 6th Goal - Nomads United | 86' - 7th Goal - Selwyn United | 90+1' - 8th Goal - Selwyn United;[14 22 58 70 71 86 91];[1 1 2 2 2 2 2];[False False False False False False  True];"['Selwyn United' 'Nomads United' 'Nomads United' 'Nomads United'
 'Nomads United' 'Selwyn United' 'Selwyn United']";[ 0  1  0 -1 -2 -3 -2];[ 1  0 -1 -2 -3 -2 -1];['D' 'H' 'D' 'A' 'A' 'A' 'A'];['H' 'D' 'A' 'A' 'A' 'A' 'A'];0.55;0.09;0.36;0.82;0.18;0.0
2026-04-27;193554546;Australia WA State League 1 Reserves;Australia;02:00;Full;0.6666666666666667;1.8;3.0;2.0;3.0;7.0;9.0;;1.0;5.0;6.0;157.0;122.0;;Floreat Athena Reserves;;0.0;0.0;1.25;2;5.0;5 - 2;5.5;Curtin University SC Reserves;;0.0;1.0;7.5;1;2.0;-1.75;7 - 9;1-5;3.0;1.25;46 - 76;18 - 41;41.0;18.0;;;8.0;1.0;3.0;3.0;;;;;;;;96.0;61.0;76.0;46.0;;;15.0;6.0;4.0;6.0;4' - 1st Goal - Floreat Athena Reserves | 14' - 2nd Goal - Curtin University SC Reserves | 15' - 3rd Goal - Floreat Athena Reserves | 57' - 4th Goal - Floreat Athena Reserves | 74' - 5th Goal - Floreat Athena Reserves | 84' - 6th Goal - Curtin University SC Reserves | 86' - 7th Goal - Floreat Athena Reserves;[ 4 14 15 57 74 84 86];[1 1 1 2 2 2 2];[False False False False False False False];"['Floreat Athena Reserves' 'Curtin University SC Reserves'
 'Floreat Athena Reserves' 'Floreat Athena Reserves'
 'Floreat Athena Reserves' 'Curtin University SC Reserves'
 'Floreat Athena Reserves']";[0 1 0 1 2 3 2];[1 0 1 2 3 2 3];['D' 'H' 'D' 'H' 'H' 'H' 'H'];['H' 'D' 'H' 'H' 'H' 'H' 'H'];0.06;0.94;0.0;0.11;0.89;0.0
2026-04-27;193554531;Australia Western Australia State League 1;Australia;04:00;Full;0.7280701754385965;1.95;3.0, 3.5;1.85;3.0, 3.5;9.0;3.0;;3.0;2.0;5.0;185.0;132.0;;Floreat Athena;3.0;0.0;0.0;1.2;1;3.0;3 - 1;5.75;Curtin University SC;12.0;0.0;0.0;9.5;1;1.0;-2.0;9 - 3;3-2;3.25;1.25;78 - 54;41 - 23;23.0;41.0;;;2.0;5.0;1.0;2.0;;;;;;;;83.0;102.0;54.0;78.0;;;3.0;12.0;3.0;6.0;19' - 1st Goal - Curtin University SC | 45+1' - 2nd Goal - Floreat Athena | 59' - 3rd Goal - Floreat Athena | 88' - 4th Goal - Floreat Athena;[19 46 59 88];[1 1 2 2];[False  True False False];['Curtin University SC' 'Floreat Athena' 'Floreat Athena' 'Floreat Athena'];[ 0 -1  0  1];[-1  0  1  2];['D' 'A' 'D' 'H'];['A' 'D' 'H' 'H'];0.36;0.34;0.3;0.41;0.0;0.59
2026-04-27;193545542;Indonesia Super League;Indonesia;05:30;Full;0.23219814241486064;1.9;2.5, 3.0;1.9;2.5, 3.0;6.0;4.0;;3.0;1.0;4.0;161.0;105.0;100.0;Bali United;;0.0;2.0;1.9;1;2.0;2 - 0;3.5;PSM Makassar;;1.0;0.0;3.4;0;0.0;-0.5;6 - 4;3-1;2.75;1.25;72 - 33;33 - 10;10.0;33.0;50.0;50.0;1.0;6.0;0.0;3.0;;;;;;;;52.0;109.0;33.0;72.0;50.0;50.0;9.0;13.0;7.0;8.0;17' - 1st Goal - Bali United | 78' - 2nd Goal - Bali United;[17 78];[1 2];[False False];['Bali United' 'Bali United'];[0 1];[1 2];['D' 'H'];['H' 'H'];0.19;0.81;0.0;0.38;0.62;0.0
2026-04-27;193691703;India Meghalaya State League;India;06:30;Full;0.9358392005450828;1.85;5.0;1.95;5.0;3.0;5.0;;0.0;4.0;4.0;173.0;158.0;;Nangkiew Irat;;0.0;2.0;1.036;1;5.0;5 - 0;15.0;Mawlum Tyrsad SC;;0.0;2.0;34.0;0;0.0;-4.25;3 - 5;0-4;5.0;2.25;71 - 87;37 - 37;37.0;37.0;;;0.0;2.0;1.0;1.0;;;;;;;;68.0;105.0;87.0;71.0;;;5.0;2.0;2.0;5.0;7' - 1st Goal - Nangkiew Irat | 62' - 2nd Goal - Nangkiew Irat | 74' - 3rd Goal - Nangkiew Irat | 86' - 4th Goal - Nangkiew Irat | 90+1' - 5th Goal - Nangkiew Irat;[ 7 62 74 86 91];[1 2 2 2 2];[False False False False  True];"['Nangkiew Irat' 'Nangkiew Irat' 'Nangkiew Irat' 'Nangkiew Irat'
 'Nangkiew Irat']";[0 1 2 3 4];[1 2 3 4 5];['D' 'H' 'H' 'H' 'H'];['H' 'H' 'H' 'H' 'H'];0.08;0.92;0.0;0.16;0.84;0.0
2026-04-27;193606780;Australia Cup Qualifying;Australia;06:45;Schedule;-0.7222222222222223;1.9;3.5;1.9;3.5;2.0;14.0;;1.0;4.0;5.0;129.0;106.0;;Keilor Park;;0.0;1.0;9.0;1;1.0;1 - 0;6.5;Preston Lions;;0.0;1.0;1.2;0;0.0;+2.0 ( +0.5);2 - 14;1-4;3.5 (1.75);nan;26 - 61;18 - 25;25.0;18.0;;;3.0;6.0;5.0;4.0;;;;;;;;84.0;45.0;79.0;27.0;;;5.0;6.0;21.0;4.0;42' - 1st Goal - Keilor Park | 90+1' - 2nd Goal - Preston Lions;[42 91];[1 2];[False  True];['Keilor Park' 'Preston Lions'];[0 1];[1 0];['D' 'H'];['H' 'D'];0.46;0.54;0.0;0.93;0.07;0.0
2026-04-27;193606766;Türkiye Womens League;Turkey;07:00;Schedule;-0.7735646958011996;1.85;3.5, 4.0;1.95;3.5, 4.0;0.0;0.0;;0.0;0.0;0.0;3.0;2.0;100.0;Cekmekoy Bilgidoga Sportif (W);;0.0;0.0;12.0;0;0.0;0 - 0;6.25;Amed SK (W);;0.0;0.0;1.167;0;0.0;+2.25;0 - 0;0-0;3.75;1.75;1 - 1;nan;;;;;;;;;;;;;;;;2.0;1.0;1.0;1.0;76.0;24.0;0.0;0.0;0.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0
2026-04-27;193376595;Ukraine Vyscha Liga;Ukraine;07:00;Schedule;0.19696969696969696;1.9;2.0, 2.5;1.9;2.0, 2.5;5.0;5.0;;5.0;1.0;6.0;161.0;108.0;100.0;Epitsentr Kamianets-Podilskyi;13.0;0.0;0.0;2.0;1;1.0;1 - 0;3.25;PFC Oleksandria;15.0;0.0;1.0;3.3;0;0.0;-0.25 ( 0.0);5 - 5;5-1;2.25 (1.75);1.0;40 - 38;34 - 19;19.0;34.0;49.0;51.0;2.0;3.0;2.0;5.0;;;;;;;;77.0;84.0;54.0;54.0;46.0;54.0;7.0;4.0;6.0;6.0;33' - 1st Goal - Epitsentr Kamianets-Podilskyi | 90+2' - 2nd Goal - PFC Oleksandria;[33 92];[1 2];[False  True];['Epitsentr Kamianets-Podilskyi' 'PFC Oleksandria'];[0 1];[1 0];['D' 'H'];['H' 'D'];0.36;0.64;0.0;0.73;0.27;0.0
2026-04-27;193545592;Türkiye U19 League;Turkey;07:00;Schedule;-0.26143790849673204;1.825;2.5, 3.0;1.975;2.5, 3.0;3.0;2.0;;1.0;1.0;2.0;164.0;86.0;100.0;Alanyaspor U19;;0.0;0.0;3.4;1;1.0;1 - 2;3.7;Samsunspor U19;;0.0;0.0;1.8;2;2.0;+0.75 ( 0.0);3 - 2;1-1;2.75 ( 4);1.25;31 - 32;21 - 24;24.0;21.0;61.0;39.0;2.0;5.0;3.0;2.0;;;;;;;;85.0;79.0;42.0;44.0;53.0;47.0;2.0;9.0;8.0;2.0;3' - 1st Goal - Alanyaspor U19 | 12' - 2nd Goal - Samsunspor U19 | 19' - 3rd Goal - Samsunspor U19 | 86' - 4th Goal - Samsunspor U19;[ 3 12 19 86];[1 1 1 2];[False False False False];['Alanyaspor U19' 'Samsunspor U19' 'Samsunspor U19' 'Samsunspor U19'];[ 0  1  0 -1];[ 1  0 -1 -2];['D' 'H' 'D' 'A'];['H' 'D' 'A' 'A'];0.11;0.1;0.79;0.22;0.2;0.58
