Date;Match ID;League;country;Time;Status;Diff_Prob;OddAsianOverGoals_FT;AsianOverGoals_FT;OddAsianUnderGoals_FT;AsianUnderGoals_FT;corners_home;corners_away;corners_FT;corners_home_HT;corners_away_HT;Corners_HT;attack_FT;dangerous_attack_FT;possession_FT;Home;Home Pos;Home Red Cards;Home Yellow Cards;Odd_H_FT;Goals_H_HT;Goals_H_FT;Score;Odd_D_FT;Away;Away Pos;Away Red Cards;Away Yellow Cards;Odd_A_FT;Goals_A_HT;Goals_A_FT;Handicap;Corners (FT);Corners (HT);Total Goals Line (FT);Total Goals Line (HT);Dangerous Attacks (FT);Dangerous Attacks (HT);half_dangerous_attack_away;half_dangerous_attack_home;half_possession_away;half_possession_home;half_shoot_off_target_away;half_shoot_off_target_home;half_shoot_on_target_away;half_shoot_on_target_home;odds_lose_odds;odds_win_odds;odds_draw_odds;handicap_goal_over_line;handicap_goal_over_odds;handicap_goal_under_odds;handicap_goal_under_line;attack_away;attack_home;dangerous_attack_away;dangerous_attack_home;possession_away;possession_home;shoot_off_target_away;shoot_off_target_home;shoot_on_target_away;shoot_on_target_home;GoalMinutes;goal_minutes_real;goal_periods;is_extra_time;goal_scorers;goal_diff_before_list;goal_diff_after_list;period_result_before_list;period_result_after_list;pct_time_drawing;pct_time_home_winning;pct_time_away_winning;pct_time_drawing_HT;pct_time_home_winning_HT;pct_time_away_winning_HT
2026-04-20;193156368;China FA Cup;China;04:00;Full;-0.3777089783281734;1.8;2.0, 2.5;2.0;2.0, 2.5;1.0;11.0;;1.0;3.0;4.0;155.0;136.0;;Xiamen Chengyi;;0.0;0.0;4.75;0;0.0;0 - 1;3.6;Shenzhen 2028;;0.0;1.0;1.7;1;1.0;+0.75;1 - 11;1-3;2.25;1.0;32 - 104;11 - 54;54.0;11.0;;;3.0;1.0;2.0;0.0;;;;;;;;102.0;53.0;104.0;32.0;;;9.0;4.0;5.0;0.0;45+3' - 1st Goal - Shenzhen 2028;[48];[1];[ True];['Shenzhen 2028'];[0];[-1];['D'];['A'];0.53;0.0;0.47;1.0;0.0;0.0
2026-04-20;193288043;India Delhi Premier League;India;04:30;Full;-0.16666666666666669;2.025;3.0;1.775;3.0;5.0;3.0;;3.0;3.0;6.0;218.0;166.0;;Noida City FC;;0.0;3.0;3.0;1;1.0;1 - 2;3.7;Royal Rangers FC;;0.0;2.0;2.0;1;2.0;+0.25;5 - 3;3-3;3.0;1.25;95 - 71;32 - 44;44.0;32.0;;;1.0;3.0;3.0;1.0;;;;;;;;98.0;120.0;71.0;95.0;;;2.0;6.0;4.0;2.0;11' - 1st Goal - Royal Rangers FC | 45+4' - 2nd Goal - Noida City FC | 71' - 3rd Goal - Royal Rangers FC;[11 49 71];[1 1 2];[False  True False];['Royal Rangers FC' 'Noida City FC' 'Royal Rangers FC'];[ 0 -1  0];[-1  0 -1];['D' 'A' 'D'];['A' 'D' 'A'];0.37;0.0;0.63;0.22;0.0;0.78
2026-04-20;193142451;Indonesia Super League;Indonesia;05:30;Full;0.007843137254901933;1.85;2.0, 2.5;1.95;2.0, 2.5;7.0;7.0;;5.0;4.0;9.0;159.0;86.0;100.0;Semen Padang;;0.0;4.0;2.5;0;0.0;0 - 2;3.4;Persijap Jepara;;0.0;2.0;2.55;2;2.0;0.0;7 - 7;5-4;2.25;1.0;41 - 45;19 - 22;22.0;19.0;47.0;53.0;0.0;1.0;3.0;0.0;;;;;;;;91.0;68.0;45.0;41.0;50.0;50.0;0.0;2.0;4.0;0.0;38' - 1st Goal - Persijap Jepara | 45' - 2nd Goal - Persijap Jepara;[38 45];[1 1];[False False];['Persijap Jepara' 'Persijap Jepara'];[ 0 -1];[-1 -2];['D' 'A'];['A' 'A'];0.42;0.0;0.58;0.84;0.0;0.16
2026-04-20;193143408;Ukraine Vyscha Liga;Ukraine;07:00;Full;-0.046296296296296335;1.9;2.0;1.9;2.0;10.0;0.0;;4.0;0.0;4.0;162.0;90.0;100.0;PFC Oleksandria;15.0;0.0;2.0;2.7;0;0.0;0 - 3;3.1;FC Veres Rivne;10.0;0.0;6.0;2.4;2;3.0;0.0;10 - 0;4-0;2.0;0.75;57 - 33;18 - 19;19.0;18.0;36.0;64.0;0.0;1.0;2.0;1.0;;;;;;;;75.0;87.0;33.0;57.0;40.0;60.0;0.0;6.0;5.0;1.0;7' - 1st Goal - FC Veres Rivne | 40' - 2nd Goal - FC Veres Rivne | 90+1' - 3rd Goal - FC Veres Rivne;[ 7 40 91];[1 1 2];[False False  True];['FC Veres Rivne' 'FC Veres Rivne' 'FC Veres Rivne'];[ 0 -1 -2];[-1 -2 -3];['D' 'A' 'A'];['A' 'A' 'A'];0.08;0.0;0.92;0.16;0.0;0.84
2026-04-20;193155654;Ethiopia Premier League;Ethiopia;07:00;Full;0.1620859760394644;1.9;1.5, 2.0;1.9;1.5, 2.0;5.0;2.0;;2.0;1.0;3.0;210.0;139.0;100.0;Bahir Dar Kenema FC;;0.0;1.0;2.15;0;0.0;0 - 2;2.7;Shaggar City;;0.0;2.0;3.3;2;2.0;-0.25;5 - 2;2-1;1.75;0.75;72 - 67;38 - 31;31.0;38.0;45.0;55.0;1.0;2.0;3.0;2.0;;;;;;;;102.0;108.0;67.0;72.0;42.0;58.0;2.0;10.0;3.0;3.0;23' - 1st Goal - Shaggar City | 31' - 2nd Goal - Shaggar City;[23 31];[1 1];[False False];['Shaggar City' 'Shaggar City'];[ 0 -1];[-1 -2];['D' 'A'];['A' 'A'];0.26;0.0;0.74;0.51;0.0;0.49
2026-04-20;193165188;Paraguay Reserve League;Paraguay;07:30;Full;0.2142857142857143;1.85;2.5, 3.0;1.95;2.5, 3.0;4.0;4.0;;4.0;2.0;6.0;184.0;143.0;100.0;Olimpia Asuncion Reserves;;0.0;1.0;2.0;1;2.0;2 - 2;3.3;Cerro Porteno Asuncion Reserves;;0.0;4.0;3.5;0;2.0;-0.5;4 - 4;4-2;2.75;1.25;72 - 71;44 - 26;26.0;44.0;43.0;57.0;1.0;6.0;1.0;1.0;;;;;;;;89.0;95.0;71.0;72.0;47.0;53.0;5.0;7.0;8.0;3.0;3' - 1st Goal - Olimpia Asuncion Reserves | 54' - 2nd Goal - Cerro Porteno Asuncion Reserves | 70' - 3rd Goal - Cerro Porteno Asuncion Reserves | 90+4' - 4th Goal - Olimpia Asuncion Reserves;[ 3 54 70 94];[1 2 2 2];[False False False  True];"['Olimpia Asuncion Reserves' 'Cerro Porteno Asuncion Reserves'
 'Cerro Porteno Asuncion Reserves' 'Olimpia Asuncion Reserves']";[ 0  1  0 -1];[ 1  0 -1  0];['D' 'H' 'D' 'A'];['H' 'D' 'A' 'D'];0.2;0.54;0.26;0.07;0.93;0.0
2026-04-20;193213361;Zanzibar Premier League;Tanzania;07:30;Full;0.5966386554621849;1.975;2.0;1.825;2.0;8.0;4.0;;5.0;2.0;7.0;155.0;138.0;;JKU FC;;0.0;3.0;1.4;1;3.0;3 - 0;3.6;Kipanga FC;;0.0;0.0;8.5;0;0.0;-1.0;8 - 4;5-2;2.0;0.75;85 - 53;44 - 30;30.0;44.0;;;3.0;8.0;1.0;3.0;;;;;;;;69.0;86.0;53.0;85.0;;;6.0;10.0;1.0;7.0;24' - 1st Goal - JKU FC | 76' - 2nd Goal - JKU FC | 89' - 3rd Goal - JKU FC;[24 76 89];[1 2 2];[False False False];['JKU FC' 'JKU FC' 'JKU FC'];[0 1 2];[1 2 3];['D' 'H' 'H'];['H' 'H' 'H'];0.27;0.73;0.0;0.53;0.47;0.0
2026-04-20;193165199;Paraguay Reserve League;Paraguay;07:30;Full;0.02354788069073782;1.95;3.0;1.85;3.0;8.0;5.0;;1.0;3.0;4.0;238.0;141.0;100.0;Sportivo Ameliano Reserves;;0.0;5.0;2.45;1;2.0;2 - 2;3.2;Nacional Asuncion Reserves;;0.0;1.0;2.6;0;2.0;0.0;8 - 5;1-3;3.0;1.25;75 - 66;26 - 35;35.0;26.0;51.0;49.0;2.0;1.0;1.0;4.0;;;;;;;;114.0;124.0;66.0;75.0;52.0;48.0;3.0;1.0;6.0;5.0;4' - 1st Goal - Sportivo Ameliano Reserves | 54' - 2nd Goal - Sportivo Ameliano Reserves | 71' - 3rd Goal - Nacional Asuncion Reserves | 77' - 4th Goal - Nacional Asuncion Reserves;[ 4 54 71 77];[1 2 2 2];[False False False False];"['Sportivo Ameliano Reserves' 'Sportivo Ameliano Reserves'
 'Nacional Asuncion Reserves' 'Nacional Asuncion Reserves']";[0 1 2 1];[1 2 1 0];['D' 'H' 'H' 'H'];['H' 'H' 'H' 'D'];0.19;0.81;0.0;0.09;0.91;0.0
2026-04-20;193163452;India Delhi Premier League;India;07:30;Full;-0.3087685253290349;1.875;2.5, 3.0;1.925;2.5, 3.0;3.0;9.0;;1.0;4.0;5.0;241.0;157.0;;Northern United FC;;0.0;3.0;3.7;0;0.0;0 - 0;3.7;Garhwal FC;;0.0;0.0;1.727;0;0.0;+0.75;3 - 9;1-4;2.75;1.25;79 - 78;39 - 32;32.0;39.0;;;3.0;5.0;1.0;0.0;;;;;;;;119.0;122.0;78.0;79.0;;;7.0;7.0;3.0;0.0;nan;[];[];[];[];[];[];[];[];1.0;0.0;0.0;1.0;0.0;0.0
2026-04-20;193141615;Hong Kong U22 League;Hong Kong;07:45;Full;0.8055555555555555;1.95;4.5, 5.0;1.85;4.5, 5.0;9.0;4.0;;4.0;2.0;6.0;129.0;142.0;100.0;HK Rangers FC U22;;1.0;4.0;1.125;1;1.0;1 - 1;8.5;Kowloon City U22;;1.0;2.0;12.0;0;1.0;-2.75;9 - 4;4-2;4.75;2.0;81 - 61;44 - 27;27.0;44.0;53.0;47.0;3.0;6.0;2.0;4.0;;;;;;;;52.0;77.0;61.0;81.0;48.0;52.0;6.0;13.0;3.0;6.0;41' - 1st Goal - HK Rangers FC U22 | 66' - 2nd Goal - Kowloon City U22;[41 66];[1 2];[False False];['HK Rangers FC U22' 'Kowloon City U22'];[0 1];[1 0];['D' 'H'];['H' 'D'];0.72;0.28;0.0;0.91;0.09;0.0
