Date;Match ID;League;country;Time;Status;Stats;Diff_Prob;OddAsianOverGoals_FT;AsianOverGoals_FT;OddAsianUnderGoals_FT;AsianUnderGoals_FT;corners_home;corners_away;corners_FT;corners_home_HT;corners_away_HT;Corners_HT;attack_FT;dangerous_attack_FT;possession_FT;Home;Home Pos;Home Red Cards;Home Yellow Cards;Odd_H_FT;Goals_H_HT;Goals_H_FT;Score;Odd_D_FT;Away;Away Pos;Away Red Cards;Away Yellow Cards;Odd_A_FT;Goals_A_HT;Goals_A_FT;Handicap;Corners (FT);Corners (HT);Total Goals Line (FT);Total Goals Line (HT);Dangerous Attacks (FT);Dangerous Attacks (HT);half_dangerous_attack_away;half_dangerous_attack_home;half_possession_away;half_possession_home;half_shoot_off_target_away;half_shoot_off_target_home;half_shoot_on_target_away;half_shoot_on_target_home;odds_lose_odds;odds_win_odds;odds_draw_odds;handicap_goal_over_line;handicap_goal_over_odds;handicap_goal_under_odds;handicap_goal_under_line;attack_away;attack_home;dangerous_attack_away;dangerous_attack_home;possession_away;possession_home;shoot_off_target_away;shoot_off_target_home;shoot_on_target_away;shoot_on_target_home;GoalMinutes;goal_minutes_real;goal_periods;is_extra_time;goal_scorers;goal_diff_before_list;goal_diff_after_list;period_result_before_list;period_result_after_list;pct_time_drawing;pct_time_home_winning;pct_time_away_winning;pct_time_drawing_HT;pct_time_home_winning_HT;pct_time_away_winning_HT;api_H_id;api_A_id;api_H_name;api_A_name;odd_yes_abertura;odd_yes_fechamento;category
2026-05-11;194368725;China U20 League;China;04:00;Full;True;0.8810752371123889;1.9;4.0;1.9;4.0;9.0;3.0;;2.0;0.0;2.0;161.0;125.0;100.0;Beijing Guoan U20;;0.0;3.0;1.071;0;1.0;1 - 0;10.0;Linyi Yihu U20;;0.0;0.0;19.0;0;0.0;-3.0;9 - 3;2-0;4.0;1.75;89 - 36;41 - 19;19.0;41.0;32.0;68.0;1.0;2.0;0.0;2.0;;;;;;;;67.0;94.0;36.0;89.0;33.0;67.0;1.0;4.0;0.0;5.0;;[84];[2];[False];['Beijing Guoan U20'];[0];[1];['D'];['H'];0.93;0.07;0.0;1.0;0.0;0.0;3376.0;;beijing guoan;;;;Youth
2026-05-11;194368721;China U20 League;China;04:00;Full;True;0.3627847900293721;1.9;3.0;1.9;3.0;5.0;4.0;;3.0;1.0;4.0;91.0;56.0;100.0;Guangdong GZ-Power U20;;0.0;2.0;1.615;0;1.0;1 - 0;4.1;Shanghai Port U20;;0.0;1.0;3.9;0;0.0;-0.75;5 - 4;3-1;3.0;1.25;27 - 29;-;0.0;0.0;;;0.0;0.0;0.0;0.0;;;;;;;;38.0;53.0;29.0;27.0;42.0;58.0;3.0;2.0;2.0;1.0;;[62];[2];[False];['Guangdong GZ-Power U20'];[0];[1];['D'];['H'];0.69;0.31;0.0;1.0;0.0;0.0;1110267.0;41537.0;guandong gz-power fc;shanghai port fc;;;Youth
2026-05-11;194432479;China U20 League;China;04:00;Full;True;0.0;1.85;3.0;1.95;3.0;12.0;3.0;;1.0;0.0;1.0;191.0;121.0;100.0;Qingdao West Coast U20;;0.0;0.0;2.4;0;1.0;1 - 3;3.5;Shandong Taishan U20;;0.0;1.0;2.4;3;3.0;0.0;12 - 3;1-0;3.0;1.25;75 - 46;20 - 27;27.0;20.0;43.0;57.0;2.0;1.0;7.0;1.0;;;;;;;;88.0;103.0;46.0;75.0;41.0;59.0;4.0;6.0;9.0;6.0;;[ 9 16 43 95];[1 1 1 2];[False False False  True];"['Shandong Taishan U20' 'Shandong Taishan U20' 'Shandong Taishan U20'
 'Qingdao West Coast U20']";[ 0 -1 -2 -3];[-1 -2 -3 -2];['D' 'A' 'A' 'A'];['A' 'A' 'A' 'A'];0.09;0.0;0.91;0.2;0.0;0.8;754363.0;3371.0;qingdao west coast fc;shandong taishan fc;;;Youth
2026-05-11;194324806;China League One Women;China;05:30;Full;True;0.28239584230625664;2.025;2.0, 2.5;1.775;2.0, 2.5;4.0;2.0;;3.0;0.0;3.0;232.0;141.0;100.0;Dalian (W);;0.0;1.0;1.833;2;2.0;2 - 1;3.25;Zhejiang Hangzhou B (W);;0.0;0.0;3.8;1;1.0;-0.5;4 - 2;3-0;2.25;0.75;86 - 55;48 - 24;24.0;48.0;41.0;59.0;3.0;4.0;1.0;9.0;;;;;;;;87.0;145.0;55.0;86.0;40.0;60.0;5.0;7.0;3.0;9.0;;[15 22 40];[1 1 1];[False False False];['Dalian (W)' 'Dalian (W)' 'Zhejiang Hangzhou B (W)'];[0 1 2];[1 2 1];['D' 'H' 'H'];['H' 'H' 'H'];0.17;0.83;0.0;0.33;0.67;0.0;;;;;;;Youth-Women
2026-05-11;194326399;Vietnam Division 2;Vietnam;05:30;Full;True;-0.284130284130284;1.775;2.0;2.025;2.0;5.0;5.0;;3.0;3.0;6.0;97.0;54.0;100.0;Cong An Ha Noi II;;0.0;2.0;3.9;1;2.0;2 - 1;3.1;PVF;;0.0;2.0;1.85;0;1.0;+0.5;5 - 5;3-3;2.0;0.75;22 - 32;9 - 14;14.0;9.0;65.0;35.0;0.0;4.0;2.0;3.0;;;;;;;;56.0;41.0;32.0;22.0;63.0;37.0;3.0;5.0;6.0;5.0;;[35 57 72];[1 2 2];[False False False];['Cong An Ha Noi II' 'Cong An Ha Noi II' 'PVF'];[0 1 2];[1 2 1];['D' 'H' 'H'];['H' 'H' 'H'];0.39;0.61;0.0;0.78;0.22;0.0;196371.0;;cong an ha noi fc;;;;Youth
2026-05-11;194324801;China League One Women;China;05:30;Full;True;-0.04285714285714287;1.8;1.5, 2.0;2.0;1.5, 2.0;1.0;6.0;;0.0;5.0;5.0;147.0;83.0;100.0;Wuhan Three Towns (W);;0.0;0.0;2.8;2;2.0;2 - 3;2.8;Chongqing Olympic (W);;0.0;1.0;2.5;2;3.0;0.0;1 - 6;0-5;1.75;0.75;32 - 51;8 - 29;29.0;8.0;55.0;45.0;3.0;0.0;4.0;3.0;;;;;;;;75.0;72.0;51.0;32.0;50.0;50.0;4.0;3.0;6.0;4.0;;[12 28 34 40 83];[1 1 1 1 2];[False False False False False];"['Wuhan Three Towns (W)' 'Chongqing Olympic (W)' 'Wuhan Three Towns (W)'
 'Chongqing Olympic (W)' 'Chongqing Olympic (W)']";[0 1 0 1 0];[ 1  0  1  0 -1];['D' 'H' 'D' 'H' 'D'];['H' 'D' 'H' 'D' 'A'];0.68;0.24;0.08;0.51;0.49;0.0;475928.0;;wuhan three towns fc;;;;Women
2026-05-11;194430864;Vietnam Division 2;Vietnam;06:00;Full;True;-0.37527362244648194;1.875;2.0, 2.5;1.925;2.0, 2.5;3.0;7.0;;3.0;3.0;6.0;119.0;61.0;100.0;Phu Dong FC;;0.0;0.0;4.333;1;1.0;1 - 4;3.6;Ha Noi FC II;;0.0;2.0;1.65;0;4.0;+0.75;3 - 7;3-3;2.25;1.0;22 - 39;12 - 19;19.0;12.0;59.0;41.0;2.0;2.0;3.0;2.0;;;;;;;;64.0;55.0;39.0;22.0;54.0;46.0;5.0;4.0;8.0;2.0;;[24 57 60 74 86];[1 2 2 2 2];[False False False False False];['Phu Dong FC' 'Ha Noi FC II' 'Ha Noi FC II' 'Ha Noi FC II' 'Ha Noi FC II'];[ 0  1  0 -1 -2];[ 1  0 -1 -2 -3];['D' 'H' 'D' 'A' 'A'];['H' 'D' 'A' 'A' 'A'];0.3;0.37;0.33;0.53;0.47;0.0;;33130.0;;hanoi fc;;;Youth
2026-05-11;194326403;Vietnam Division 2;Vietnam;06:00;Full;True;0.8160671092584015;1.9;2.5, 3.0;1.9;2.5, 3.0;2.0;1.0;;1.0;0.0;1.0;127.0;94.0;100.0;Da Nang II;;0.0;0.0;1.143;0;1.0;1 - 3;5.75;Ha Tinh;;0.0;0.0;17.0;1;3.0;-1.75;2 - 1;1-0;2.75;1.25;52 - 42;24 - 22;22.0;24.0;44.0;56.0;3.0;0.0;3.0;3.0;;;;;;;;59.0;68.0;42.0;52.0;43.0;57.0;4.0;4.0;7.0;7.0;;[32 81 90 91];[1 2 2 2];[False False False  True];['Ha Tinh' 'Ha Tinh' 'Da Nang II' 'Ha Tinh'];[ 0 -1 -2 -1];[-1 -2 -1 -2];['D' 'A' 'A' 'A'];['A' 'A' 'A' 'A'];0.35;0.0;0.65;0.71;0.0;0.29;33121.0;;shb da nang;;;;Youth
2026-05-11;194314520;Portugal U23 Cup;Portugal;07:00;Full;True;0.4143150152061674;1.875;2.5, 3.0;1.925;2.5, 3.0;4.0;3.0;;3.0;3.0;6.0;206.0;106.0;100.0;Academico Viseu U23;;0.0;3.0;1.571;1;2.0;2 - 4;4.0;Santa Clara U23;;0.0;3.0;4.5;2;4.0;-1.0;4 - 3;3-3;2.75;1.25;77 - 29;38 - 13;13.0;38.0;28.0;72.0;4.0;1.0;2.0;5.0;;;;;;;;70.0;136.0;29.0;77.0;34.0;66.0;6.0;3.0;5.0;8.0;;[18 34 44 49 54 63];[1 1 1 2 2 2];[False False False False False False];"['Santa Clara U23' 'Academico Viseu U23' 'Santa Clara U23'
 'Santa Clara U23' 'Academico Viseu U23' 'Santa Clara U23']";[ 0 -1  0 -1 -2 -1];[-1  0 -1 -2 -1 -2];['D' 'A' 'D' 'A' 'A' 'A'];['A' 'D' 'A' 'A' 'A' 'A'];0.31;0.0;0.69;0.62;0.0;0.38;3022.0;3011.0;academico de viseu fc;santa clara azores;;;Youth
2026-05-11;194318425;Hong Kong U22 Cup;Hong Kong;07:30;Full;True;-0.5835208802200551;2.0;3.5;1.8;3.5;2.0;9.0;;1.0;7.0;8.0;176.0;88.0;100.0;Lee Man FC U22;;0.0;2.0;6.0;0;1.0;1 - 1;5.0;Hong Kong FC U22;;0.0;1.0;1.333;1;1.0;+1.5;2 - 9;1-7;3.5;1.5;33 - 55;21 - 25;25.0;21.0;55.0;45.0;4.0;1.0;4.0;2.0;;;;;;;;87.0;89.0;55.0;33.0;58.0;42.0;8.0;3.0;8.0;4.0;;[27 80];[1 2];[False False];['Hong Kong FC U22' 'Lee Man FC U22'];[ 0 -1];[-1  0];['D' 'A'];['A' 'D'];0.41;0.0;0.59;0.6;0.0;0.4;;;;;;;Youth
2026-05-11;194311627;Australia Victoria Premier League 1;Australia;07:30;Full;True;0.26143790849673204;1.8;3.0;2.0;3.0;7.0;2.0;;1.0;2.0;3.0;213.0;133.0;;Melbourne Victory NPL;;0.0;1.0;1.8;0;4.0;4 - 0;3.8;Manningham United Blues;;0.0;1.0;3.4;0;0.0;-0.5;7 - 2;1-2;3.0;1.25;93 - 40;46 - 23;23.0;46.0;;;2.0;3.0;0.0;3.0;;;;;;;;99.0;114.0;40.0;93.0;;;2.0;11.0;1.0;13.0;;[48 65 74 93];[2 2 2 2];[False False False  True];"['Melbourne Victory NPL' 'Melbourne Victory NPL' 'Melbourne Victory NPL'
 'Melbourne Victory NPL']";[0 1 2 3];[1 2 3 4];['D' 'H' 'H' 'H'];['H' 'H' 'H' 'H'];0.52;0.48;0.0;1.0;0.0;0.0;;;;;;;
2026-05-11;194323620;Paraguay Reserve League;Paraguay;08:30;Full;True;-0.7915573053368329;1.975;4.0, 4.5;1.825;4.0, 4.5;3.0;5.0;;1.0;3.0;4.0;228.0;181.0;100.0;Sportivo San Lorenzo Reserves;;0.0;5.0;12.0;0;1.0;1 - 0;8.0;Olimpia Asuncion Reserves;;1.0;3.0;1.143;0;0.0;+2.75;3 - 5;1-3;4.25;1.75;85 - 96;38 - 45;45.0;38.0;66.0;34.0;1.0;5.0;2.0;1.0;;;;;;;;124.0;104.0;96.0;85.0;62.0;38.0;7.0;9.0;4.0;4.0;;[78];[2];[False];['Sportivo San Lorenzo Reserves'];[0];[1];['D'];['H'];0.87;0.13;0.0;1.0;0.0;0.0;;;;;;;Youth
2026-05-11;194314469;Indonesia Super League;Indonesia;09:00;Full;True;0.028895768833849256;1.9;2.5, 3.0;1.9;2.5, 3.0;5.0;5.0;;3.0;1.0;4.0;156.0;99.0;100.0;Bhayangkara FC;;0.0;2.0;2.375;0;3.0;3 - 1;3.25;Madura United;;0.0;4.0;2.55;1;1.0;0.0;5 - 5;3-1;2.75;1.25;65 - 34;38 - 14;14.0;38.0;34.0;66.0;1.0;7.0;2.0;3.0;;;;;;;;66.0;90.0;34.0;65.0;43.0;57.0;3.0;15.0;6.0;11.0;;[ 4 62 66 87];[1 2 2 2];[False False False False];['Madura United' 'Bhayangkara FC' 'Bhayangkara FC' 'Bhayangkara FC'];[ 0 -1  0  1];[-1  0  1  2];['D' 'A' 'D' 'H'];['A' 'D' 'H' 'H'];0.09;0.27;0.64;0.09;0.0;0.91;;;;;;;
2026-05-11;194314473;Indonesia Super League;Indonesia;09:00;Full;True;-0.26143790849673204;2.0;3.0, 3.5;1.8;3.0, 3.5;7.0;5.0;;3.0;5.0;8.0;172.0;104.0;100.0;Bali United;;0.0;1.0;3.4;1;2.0;2 - 3;3.8;Borneo FC;;0.0;1.0;1.8;0;3.0;+0.5;7 - 5;3-5;3.25;1.25;52 - 52;26 - 26;26.0;26.0;55.0;45.0;3.0;6.0;3.0;3.0;;;;;;;;84.0;88.0;52.0;52.0;53.0;47.0;6.0;9.0;8.0;10.0;;[21 49 74 76 79];[1 2 2 2 2];[False False False False False];['Bali United' 'Borneo FC' 'Borneo FC' 'Bali United' 'Borneo FC'];[ 0  1  0 -1  0];[ 1  0 -1  0 -1];['D' 'H' 'D' 'A' 'D'];['H' 'D' 'A' 'D' 'A'];0.54;0.31;0.14;0.47;0.53;0.0;64299.0;;bali united;;;;
